#      h  k  l      2Theta    |Fhkl|^2        Ihkl   FWHM(deg)      B(deg)
       1  0  1      25.320    2.53e+04    4.29e+06       0.316       0.313
       1  0  3      36.984    3.00e+03    2.35e+05       0.346       0.332
       0  0  4      37.839    1.24e+04    9.23e+05       0.348       0.333
       1  1  2      38.594    3.34e+03    2.40e+05       0.350       0.335
       2  0  0      48.064    2.73e+04    1.26e+06       0.376       0.354
       2  0  2      51.995    9.69e-14    3.81e-12       0.339       0.364
       1  0  5      53.947    2.14e+04    7.84e+05       0.393       0.368
       2  1  1      55.094    2.20e+04    7.72e+05       0.347       0.371
       2  1  3      62.154    4.94e+03    1.38e+05       0.367       0.391
       2  0  4      62.740    2.21e+04    6.04e+05       0.368       0.393
       1  1  6      68.835    1.09e+04    2.53e+05       0.442       0.413
       2  2  0      70.330    1.26e+04    2.82e+05       0.392       0.418
       1  0  7      74.149    1.18e+03    2.44e+04       0.462       0.432
       2  1  5      75.118    2.09e+04    4.23e+05       0.466       0.436
       3  0  1      76.082    5.83e+03    1.16e+05       0.470       0.440
       2  0  6      78.743    1.47e-09    2.78e-08       0.481       0.451
       0  0  8      80.855    1.16e+03    2.12e+04       0.428       0.460
       3  0  3      82.218    1.65e+03    2.94e+04       0.496       0.466
       2  2  4      82.742    1.19e+04    2.12e+05       0.498       0.468
       3  1  2      83.213    4.89e+03    8.63e+04       0.500       0.470
       3  1  4      92.265    4.90e-10    7.86e-09       0.476       0.517
       2  1  7      93.357    1.69e+03    2.69e+04       0.550       0.523
       3  0  5      94.294    5.97e+03    9.44e+04       0.555       0.529
       3  2  1      95.231    6.93e+03    1.09e+05       0.490       0.534
       1  0  9      98.476    4.59e+03    7.13e+04       0.507       0.554
       2  0  8      99.948    3.01e+03    4.67e+04       0.515       0.564
       3  2  3     101.321    2.20e+03    3.41e+04       0.597       0.574
       3  1  6     107.599    8.18e+03    1.28e+05       0.560       0.621
       4  0  0     109.075    4.26e+03    6.69e+04       0.651       0.633
       4  0  2     112.295    1.80e-10    2.87e-09       0.677       0.661
       3  0  7     112.971    5.98e+02    9.62e+03       0.682       0.668
       3  2  5     113.989    7.47e+03    1.21e+05       0.691       0.678
       4  1  1     115.016    4.45e+03    7.27e+04       0.700       0.688
       2  1  9     118.626    5.87e+03    9.92e+04       0.735       0.726
       1  1 10     118.686    6.33e+03    1.07e+05       0.735       0.727
       2  2  8     120.296    2.04e+03    3.51e+04       0.752       0.746
       4  1  3     121.870    1.52e+03    2.67e+04       0.769       0.765
       4  0  4     122.484    4.70e+03    8.30e+04       0.776       0.772
       3  3  2     123.040    1.19e+03    2.12e+04       0.782       0.779
       2  0 10     130.230    5.19e-10    1.03e-08       0.985       0.886
       4  2  0     131.186    5.59e+03    1.13e+05       0.890       0.902
       3  1  8     132.091    2.12e-11    4.36e-10       0.904       0.917
       1  0 11     132.303    1.02e+03    2.11e+04       0.908       0.922
       4  2  2     135.322    7.31e-11    1.59e-09       0.960       0.981
       3  2  7     136.217    8.68e+02    1.93e+04       0.976       0.999
       4  1  5     137.584    4.97e+03    1.14e+05       1.003       1.029
       4  0  6     143.120    8.38e-10    2.19e-08       1.272       1.173
       3  0  9     144.174    1.98e+03    5.32e+04       1.159       1.205
